Tipo de evento,Código de evento,Fecha de evento,N.º total de impresiones,Versión del firmware,Ayuda
Info,34.02.01,24-mar-2026 19:07:20,39084,2509087_000074,
Info,34.02.01,24-mar-2026 1:41:05,38919,2509087_000074,
Info,34.02.01,24-mar-2026 1:41:04,38919,2509087_000074,
Info,34.02.01,24-mar-2026 1:02:13,38919,2509087_000074,
Info,34.02.01,23-mar-2026 20:31:34,38914,2509087_000074,
Info,34.02.01,23-mar-2026 20:31:01,38914,2509087_000074,
Info,34.02.01,23-mar-2026 20:31:00,38914,2509087_000074,
Info,34.02.01,23-mar-2026 19:21:35,38914,2509087_000074,
Info,34.02.01,23-mar-2026 19:18:18,38914,2509087_000074,
Info,34.02.01,23-mar-2026 19:07:01,38908,2509087_000074,
Info,34.02.01,23-mar-2026 1:01:44,38791,2509087_000074,
Info,34.02.01,23-mar-2026 1:01:43,38791,2509087_000074,
Info,34.02.01,23-mar-2026 0:04:44,38791,2509087_000074,
Info,34.02.01,23-mar-2026 0:04:43,38791,2509087_000074,
Info,34.02.01,22-mar-2026 20:30:45,38791,2509087_000074,
Info,34.02.01,22-mar-2026 20:30:10,38791,2509087_000074,
Info,34.02.01,22-mar-2026 19:21:23,38791,2509087_000074,
Info,34.02.01,22-mar-2026 19:18:12,38791,2509087_000074,
Info,34.02.01,22-mar-2026 19:18:11,38791,2509087_000074,
Info,34.02.01,22-mar-2026 19:06:33,38791,2509087_000074,
Info,34.02.01,22-mar-2026 19:06:32,38791,2509087_000074,
Info,34.02.01,22-mar-2026 1:01:25,38791,2509087_000074,
Info,34.02.01,22-mar-2026 1:01:24,38791,2509087_000074,
Info,34.02.01,21-mar-2026 22:56:40,38791,2509087_000074,
Info,34.02.01,21-mar-2026 20:29:48,38791,2509087_000074,
Info,34.02.01,21-mar-2026 20:29:17,38791,2509087_000074,
Info,34.02.01,21-mar-2026 20:29:16,38791,2509087_000074,
Info,33.27.01,21-mar-2026 19:23:33,38791,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
Info,33.27.01,21-mar-2026 19:23:32,38791,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
Info,34.02.01,21-mar-2026 19:23:28,38791,2509087_000074,
Info,34.02.01,21-mar-2026 19:21:05,38791,2509087_000074,
Info,34.02.01,21-mar-2026 19:17:49,38791,2509087_000074,
Info,34.02.01,21-mar-2026 19:06:03,38693,2509087_000074,
Info,34.02.01,21-mar-2026 19:06:00,38691,2509087_000074,
Info,34.02.01,21-mar-2026 1:00:59,38535,2509087_000074,
Info,34.02.01,21-mar-2026 1:00:58,38535,2509087_000074,
Info,34.02.01,20-mar-2026 21:49:45,38535,2509087_000074,
